,businessname,fulladdress,latitude,longitude,inspectionidnumber,dateofinspection,inspectiontype,inspectionscore
0,1010 WASHINGTON WINE & SPIRITS,1010 WASHINGTON AVE S,44.97659,-93.25502,"[[44314, 189485]]","[['2017/01/27', '2019/02/06']]","[['Routine', 'Routine']]","[[96, 96]]"
1,112 EATERY,112 3RD ST N,44.98266,-93.27156,"[[44334, 224449, 224448, 270458, 270457]]","[['2017/08/31', '2017/10/06', '2018/08/31', '2018/10/01', '2019/08/30']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']]","[[80, 96, 84, 100, 94]]"
2,1ST WOK LAKESIDE,3236 LAKE ST W,44.94913,-93.32083,"[[44398, 228784, 228783, 276701, 276700]]","[['2017/10/10', '2017/12/12', '2018/10/18', '2018/11/27', '2019/10/18']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']]","[[96, 100, 72, 96, 96]]"
3,4 BELLS,1610 HARMON PL,44.97172,-93.28552,"[[44544, 200509, 200508, 252481, 252480, 313917]]","[['2017/05/25', '2017/06/30', '2018/06/07', '2018/07/12', '2019/06/11', '2019/07/09']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[92, 100, 90, 100, 84, 94]]"
4,5-8 CLUB,5800 CEDAR AVE S,44.89773,-93.248,"[[44620, 229830, 229829, 277908, 277907]]","[['2017/10/17', '2017/12/14', '2018/10/30', '2018/11/29', '2019/10/30']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']]","[[96, 98, 98, 98, 94]]"
5,7 - THE SKYBAR,700 HENNEPIN AVE,44.97801,-93.27548,"[[44730, 196602, 249194]]","[['2017/04/21', '2018/05/01', '2019/05/03']]","[['Routine', 'Routine', 'Routine']]","[[100, 100, 100]]"
6,7 SEVEN,700 HENNEPIN AVE,44.97801,-93.27548,"[[44716, 192035, 249180, 253687, 258138, 249179, 310089, 313146]]","[['2017/02/28', '2018/05/01', '2018/06/26', '2018/07/25', '2018/08/31', '2019/05/03', '2019/05/30', '2019/06/27']]","[['Routine', 'Routine', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up']]","[[94, 94, 94, 94, 92, 86, 86, 92]]"
7,801 CHOP HOUSE,801 NICOLLET MALL,44.97559,-93.2728,"[[337401, 341655]]","[['2020/01/16', '2020/01/29']]","[['Routine', 'Follow-Up']]","[[76, 96]]"
8,8TH STREET GRILL & TAVERN,800 MARQUETTE AVE,44.97559,-93.2728,"[[44781, 200977, 200976, 251758, 310357]]","[['2017/05/30', '2017/07/12', '2018/05/22', '2019/05/14', '2019/06/13']]","[['Routine', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up']]","[[94, 100, 96, 90, 96]]"
9,A LA SALSA RESTAURANT,920 LAKE ST E #155,44.94931,-93.26076,"[[32331, 191472, 243457]]","[['2017/02/21', '2018/02/20', '2019/02/21']]","[['Routine', 'Routine', 'Routine']]","[[100, 98, 94]]"
