,inspect_name,address,latitude,longitude,inspectionidnumber,dateofinspection,inspectiontype,inspectionscore,updated,yelp_categories,yelp_name,yelp_id,yelp_price,yelp_url,yelp_transactions,yelp_phone,yelp_rating,yelp_reviews,google_name,google_id,google_rating,google_reviews,google_price,agg_rating,total_reviews
0,112 EATERY,"112 N 3rd St, Minneapolis, MN 55401, United States",44.98266,-93.27156,"[44334, 224449, 224448, 270458, 270457]","['2017/08/31', '2017/10/06', '2018/08/31', '2018/10/01', '2019/08/30']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']","[80, 96, 84, 100, 94]","Fri, Mar 13, 2020 at 02:49 AM","['American (New)', 'Wine Bars']",112 Eatery,6vaAze9Fxuco249L3BhEdQ,$$$,https://www.yelp.com/biz/112-eatery-minneapolis?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],(612) 343-7696,4.5,1170.0,112 Eatery,ChIJ6ZJ3YYUys1IRihzyYe0WiGs,4.7,997,3.0,4.59,2167.0
1,19 BAR,"19 W 15th St, Minneapolis, MN 55403, United States",44.96745,-93.27883,"[44352, 193458]","['2017/03/23', '2018/10/02']","['Routine', 'Routine']","[98, 100]","Fri, Mar 13, 2020 at 02:49 AM",['Gay Bars'],19 Bar,CZVbUErrY1jmyh0RJDxmKQ,$,https://www.yelp.com/biz/19-bar-minneapolis?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,[],(612) 871-5553,4.0,49.0,19 Bar,ChIJdX4gOL8ys1IRVvgbPjQiAR8,4.3,112,1.0,4.21,161.0
2,1ST CUP CAFE & RESTAURANT,"180, 3776, 2740 Minnehaha Ave, Minneapolis, MN 55406, United States",44.95167,-93.23735,"[304218, 313672]","['2019/06/14', '2019/07/17']","['Routine', 'Follow-Up']","[84, 100]","Fri, Mar 13, 2020 at 02:49 AM","['Coffee & Tea', 'African']",1st Cup Cafe,YpfkCzMaPQuXafQmSbpeMQ,$,https://www.yelp.com/biz/1st-cup-cafe-minneapolis?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],(612) 227-8235,3.5,5.0,1st Cup Cafe,ChIJTXU-zCEo9ocRRt1yXBp7bbk,4.1,66,1.0,4.06,71.0
3,1ST WOK LAKESIDE,"3236 W Lake St, Minneapolis, MN 55416, United States",44.94913,-93.32083,"[44398, 228784, 228783, 276701, 276700]","['2017/10/10', '2017/12/12', '2018/10/18', '2018/11/27', '2019/10/18']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']","[96, 100, 72, 96, 96]","Fri, Mar 13, 2020 at 02:49 AM",['Chinese'],1st Wok,AampZedxY_yXzzAfBUTnRw,$$,https://www.yelp.com/biz/1st-wok-minneapolis?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],(612) 922-8883,3.0,60.0,1st Wok,ChIJt3dUXl4n9ocRiOi-y-MYNZ4,4.1,88,1.0,3.65,148.0
4,331 CLUB,"331 13th Ave NE, Minneapolis, MN 55413, United States",45.00121,-93.26287,"[44455, 189617, 237422, 237421, 287120, 286896]","['2017/01/30', '2017/12/18', '2018/01/18', '2018/12/31', '2019/02/01', '2019/12/31']","['Routine', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']","[96, 92, 100, 94, 100, 100]","Fri, Mar 13, 2020 at 02:49 AM",['Bars'],331 Club,tLoR8CvTJGHsDpwGBpE3qA,$,https://www.yelp.com/biz/331-club-minneapolis?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,[],(612) 331-1746,3.5,93.0,331 Club,ChIJPR16Fogts1IRvoU0uRdtRws,4.2,190,1.0,3.97,283.0
5,4 BELLS,"1610 Harmon Pl, Minneapolis, MN 55403, United States",44.97172,-93.28552,"[44544, 200509, 200508, 252481, 252480, 313917]","['2017/05/25', '2017/06/30', '2018/06/07', '2018/07/12', '2019/06/11', '2019/07/09']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']","[92, 100, 90, 100, 84, 94]","Fri, Mar 13, 2020 at 02:49 AM","['Southern', 'Seafood', 'Bars']",4 Bells,Z0f8wwUpiq2TLLIGm4BMKg,$$$,https://www.yelp.com/biz/4-bells-minneapolis-2?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],(612) 904-1163,4.0,299.0,4 Bells,ChIJc0yeAeoys1IRuMxu6Z9BHg0,4.4,691,3.0,4.28,990.0
6,5 DOLLAR PIZZA,"137 E Franklin Ave, Minneapolis, MN 55404, United States",44.96248,-93.27437,[280883],['2019/01/29'],['Routine'],[100],"Fri, Mar 13, 2020 at 02:49 AM",['Pizza'],$5 Pizza,fm0EEoRx4zPwqVwaKDqSQQ,,https://www.yelp.com/biz/5-pizza-minneapolis-2?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],(612) 315-4695,4.0,8.0,5 dollar pizza,ChIJXX97ALoys1IR8I3GgjhD9so,4.2,243,,4.19,251.0
7,5-8 CLUB,"5800 Cedar Ave, Minneapolis, MN 55417, United States",44.89773,-93.248,"[44620, 229830, 229829, 277908, 277907]","['2017/10/17', '2017/12/14', '2018/10/30', '2018/11/29', '2019/10/30']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']","[96, 98, 98, 98, 94]","Fri, Mar 13, 2020 at 02:49 AM","['Burgers', 'American (Traditional)']",5-8 club,1b48T8_1plm8qxfJNIG3Tw,$$,https://www.yelp.com/biz/5-8-club-minneapolis-8?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],(612) 823-5858,3.5,669.0,5-8 Club,ChIJv4agVr0o9ocRu3CeixxwSWg,4.4,2125,1.0,4.18,2794.0
8,7 - THE SKYBAR,"700 Hennepin Ave, Minneapolis, MN 55403, United States",44.97801,-93.27548,"[44730, 196602, 249194]","['2017/04/21', '2018/05/01', '2019/05/03']","['Routine', 'Routine', 'Routine']","[100, 100, 100]","Fri, Mar 13, 2020 at 02:49 AM","['Steakhouses', 'Bars', 'Sushi Bars']",Seven Steakhouse Sushi & Rooftop,vEXSDRb32OQMieZB5q7eBw,$$$,https://www.yelp.com/biz/seven-steakhouse-sushi-and-rooftop-minneapolis-2?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,[],(612) 238-7770,3.0,137.0,Seven Steakhouse Sushi & Rooftop,ChIJ0-GDE5Eys1IRlxo3Pu5DaEE,3.9,1084,3.0,3.8,1221.0
9,7 SEVEN,"700 Hennepin Ave, Minneapolis, MN 55403, United States",44.97801,-93.27548,"[44716, 192035, 249180, 253687, 258138, 249179, 310089, 313146]","['2017/02/28', '2018/05/01', '2018/06/26', '2018/07/25', '2018/08/31', '2019/05/03', '2019/05/30', '2019/06/27']","['Routine', 'Routine', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up']","[94, 94, 94, 94, 92, 86, 86, 92]","Fri, Mar 13, 2020 at 02:49 AM","['Steakhouses', 'Bars', 'Sushi Bars']",Seven Steakhouse Sushi & Rooftop,vEXSDRb32OQMieZB5q7eBw,$$$,https://www.yelp.com/biz/seven-steakhouse-sushi-and-rooftop-minneapolis-2?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,[],(612) 238-7770,3.0,137.0,Seven Steakhouse Sushi & Rooftop,ChIJ0-GDE5Eys1IRlxo3Pu5DaEE,3.9,1084,3.0,3.8,1221.0
