,inspect_name,address,latitude,longitude,inspectionidnumber,dateofinspection,inspectiontype,inspectionscore,updated
0,38TH ST DAIRY QUEEN,3747 13TH AVE S,44.9343,-93.25582,"[44484, 198040, 249069]","['2017/05/10', '2018/05/04', '2019/05/16']","['Routine', 'Routine', 'Routine']","[92, 98, 96]","Fri, Mar 13, 2020 at 02:32 AM"
1,5 CORNER MARKET,2425 WEST BROADWAY,45.00577,-93.31175,[315055],['2019/09/04'],['Routine'],[98],"Fri, Mar 13, 2020 at 02:32 AM"
2,5TH AVE MARKET,201 5TH AVE N,44.98635,-93.27342,"[44652, 181142, 237545, 286986, 287156]","['2017/01/04', '2018/01/12', '2019/01/03', '2019/02/13', '2019/12/03']","['Routine', 'Routine', 'Routine', 'Follow-Up', 'Routine']","[100, 100, 96, 100, 100]","Fri, Mar 13, 2020 at 02:32 AM"
3,A & J FISH & CHICKEN,500 LAKE ST E,44.94859,-93.26869,"[44833, 228301, 228300, 274054, 274053, 330518]","['2017/10/09', '2017/11/09', '2018/10/01', '2018/11/01', '2019/09/25', '2019/11/07']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']","[86, 100, 88, 100, 70, 94]","Fri, Mar 13, 2020 at 02:32 AM"
4,A LA SALSA RESTAURANT,920 LAKE ST E #155,44.94931,-93.26076,"[32331, 191472, 243457, 299767, 355153]","['2017/02/21', '2018/02/20', '2019/02/21', '2020/02/12', '2020/02/24']","['Routine', 'Routine', 'Routine', 'Routine', 'Follow-Up']","[100, 98, 94, 84, 94]","Fri, Mar 13, 2020 at 02:32 AM"
5,AARAN RESTAURANT,2910 PILLSBURY AVE,44.94969,-93.2821,"[274005, 286257, 286256]","['2018/12/20', '2019/02/01', '2019/12/26']","['Routine', 'Follow-Up', 'Routine']","[82, 100, 96]","Fri, Mar 13, 2020 at 02:32 AM"
6,AC HOTEL MINNEAPOLIS DOWNTOWN,401 HENNEPIN AVE,44.9888,-93.25494,"[124347, 233758, 279995, 337879]","['2017/11/21', '2018/11/21', '2019/11/26', '2019/12/27']","['Routine', 'Routine', 'Routine', 'Follow-Up']","[100, 100, 88, 100]","Fri, Mar 13, 2020 at 02:32 AM"
7,AFC SUSHI @ KOWALSKIS #5366,2440 HENNEPIN AVE,44.95767,-93.29608,"[180494, 241935, 295094]","['2018/01/09', '2019/01/09', '2020/01/07']","['Routine', 'Routine', 'Routine']","[100, 96, 100]","Fri, Mar 13, 2020 at 02:32 AM"
8,AFC SUSHI @ WALGREENS #16275,655 NICOLLET MALL,0.0,0.0,"[51653, 189647, 251243, 251242]","['2017/01/25', '2018/05/22', '2018/06/20', '2019/05/22']","['Routine', 'Routine', 'Follow-Up', 'Routine']","[96, 87, 96, 98]","Fri, Mar 13, 2020 at 02:32 AM"
9,ALOFT HOTEL MINNEAPOLIS,900 WASHINGTON AVE S,44.97659,-93.25502,"[59226, 194020, 246855, 246854]","['2017/03/21', '2018/03/27', '2018/07/11', '2019/03/26']","['Routine', 'Routine', 'Follow-Up', 'Routine']","[100, 86, 96, 96]","Fri, Mar 13, 2020 at 02:32 AM"
10,AMERICAN LEGION,5600 34TH AVE S,44.90155,-93.22334,"[59408, 240981, 240503]","['2018/01/17', '2018/02/28', '2019/07/23']","['Routine', 'Follow-Up', 'Routine']","[90, 92, 92]","Fri, Mar 13, 2020 at 02:32 AM"
11,AMERICAN LEGION POST #99,5600 34TH AVE S,44.90155,-93.22334,"[59457, 240972, 240971]","['2018/01/17', '2018/02/28', '2019/07/23']","['Routine', 'Follow-Up', 'Routine']","[90, 92, 92]","Fri, Mar 13, 2020 at 02:32 AM"
12,ANTRO BAR,419 LAKE ST E,44.94779,-93.26942,"[280886, 294805]","['2019/02/01', '2020/01/31']","['Routine', 'Routine']","[98, 96]","Fri, Mar 13, 2020 at 02:32 AM"
13,APPLE SPICE,740 HARDING ST NE,44.9974,-93.22234,"[272025, 280091, 280090]","['2018/11/21', '2019/01/04', '2019/11/22']","['Routine', 'Follow-Up', 'Routine']","[88, 94, 96]","Fri, Mar 13, 2020 at 02:32 AM"
14,AREA CONCESSIONS,600 KENWOOD PKWY,44.97083,-93.29497,[325140],['2019/10/05'],['Routine'],[100],"Fri, Mar 13, 2020 at 02:32 AM"
15,ARIA AT THE JEUNE LUNE,105 1ST ST N,44.98471,-93.26873,"[11086, 198067, 249338]","['2017/05/10', '2018/05/03', '2019/05/04']","['Routine', 'Routine', 'Routine']","[100, 100, 96]","Fri, Mar 13, 2020 at 02:32 AM"
16,AUGIES CABARET,424 HENNEPIN AVE,44.97994,-93.27258,[18318],['2018/10/02'],['Routine'],[100],"Fri, Mar 13, 2020 at 02:32 AM"
17,AUGUSTANA  APARTMENTS,1510 11TH AVE S,44.96762,-93.2586,"[18382, 194013, 246885]","['2017/03/14', '2018/03/15', '2019/03/19']","['Routine', 'Routine', 'Routine']","[100, 96, 100]","Fri, Mar 13, 2020 at 02:32 AM"
18,BAD AXE THROWING,2505 KENNEDY ST NE,44.99564,-93.22465,"[318691, 331977]","['2019/10/06', '2019/11/17']","['Routine', 'Follow-Up']","[84, 98]","Fri, Mar 13, 2020 at 02:32 AM"
19,BAMINI'S COFFEE,2414 7TH ST S,44.9675,-93.23691,"[232268, 232341, 277007]","['2017/10/24', '2018/10/23', '2019/10/25']","['Routine', 'Routine', 'Routine']","[96, 96, 96]","Fri, Mar 13, 2020 at 02:32 AM"
20,BAND BOX,729 10TH ST S,44.96905,-93.26345,"[25203, 231247, 231246, 277628, 335734]","['2017/10/17', '2017/11/15', '2018/10/17', '2019/10/17', '2019/11/18']","['Routine', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up']","[90, 100, 90, 88, 96]","Fri, Mar 13, 2020 at 02:32 AM"
