,yelpid,name,image,url,latitude,longitude,address,phone,categories,transactions,rating,reviews
0,G9KdODINirmdSuYaBfBppA,Butcher & The Boar,https://s3-media1.fl.yelpcdn.com/bphoto/raQA0N0eKpTtW1kNPe6OcQ/o.jpg,https://www.yelp.com/biz/butcher-and-the-boar-minneapolis?adjust_creative=P1RJNSLd83EWzgeA0sG62A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=P1RJNSLd83EWzgeA0sG62A,44.974777,-93.279792,"1121 Hennepin Ave Minneapolis, MN 55403",(612) 238-8888,"['American (New)', 'Beer Gardens', 'Venues & Event Spaces']",['delivery'],4.5,1616
1,zv_XJAQr9D3PNR5eHYhC5w,Bar La Grassa,https://s3-media2.fl.yelpcdn.com/bphoto/SKbCky2Pi-5KRQ6Fh9_anQ/o.jpg,https://www.yelp.com/biz/bar-la-grassa-minneapolis?adjust_creative=P1RJNSLd83EWzgeA0sG62A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=P1RJNSLd83EWzgeA0sG62A,44.98954,-93.278594,"800 Washington Ave N Minneapolis, MN 55401",(612) 333-3837,"['Italian', 'Desserts', 'Wine Bars']",[],4.5,1253
2,6vaAze9Fxuco249L3BhEdQ,112 Eatery,https://s3-media2.fl.yelpcdn.com/bphoto/6oZdXEF7GovvyyJJVNpIVw/o.jpg,https://www.yelp.com/biz/112-eatery-minneapolis?adjust_creative=P1RJNSLd83EWzgeA0sG62A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=P1RJNSLd83EWzgeA0sG62A,44.98267,-93.2716,"112 N 3rd St Minneapolis, MN 55401",(612) 343-7696,"['American (New)', 'Wine Bars', 'Venues & Event Spaces']",['delivery'],4.5,1165
3,5s2sT8ux7og5XfK-180r2g,George & The Dragon,https://s3-media3.fl.yelpcdn.com/bphoto/u7Pn5-JiRFNlZKtqSRGLPA/o.jpg,https://www.yelp.com/biz/george-and-the-dragon-minneapolis?adjust_creative=P1RJNSLd83EWzgeA0sG62A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=P1RJNSLd83EWzgeA0sG62A,44.912151,-93.290436,"813 W 50th St Minneapolis, MN 55419",(612) 208-1047,"['American (New)', 'Pubs', 'British']","['pickup', 'delivery']",4.5,889
4,5olLs-K-_k_rWrrNLjvy0w,Spoon and Stable,https://s3-media2.fl.yelpcdn.com/bphoto/QaDSlgAElMPCB7dbtnkeIQ/o.jpg,https://www.yelp.com/biz/spoon-and-stable-minneapolis-4?adjust_creative=P1RJNSLd83EWzgeA0sG62A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=P1RJNSLd83EWzgeA0sG62A,44.9854892917291,-93.2695363613423,"211 N 1st St Minneapolis, MN 55401",(612) 224-9850,"['American (New)', 'Bars']",['delivery'],4.5,893
5,g7bbpP7x5KAc33i7pgOkLA,Hell's Kitchen,https://s3-media2.fl.yelpcdn.com/bphoto/-OhWXyvg9912ki7k4eDMtg/o.jpg,https://www.yelp.com/biz/hells-kitchen-minneapolis?adjust_creative=P1RJNSLd83EWzgeA0sG62A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=P1RJNSLd83EWzgeA0sG62A,44.97460605855,-93.2726155438114,"80 S 9th St Minneapolis, MN 55402",(612) 332-4700,"['American (New)', 'Breakfast & Brunch', 'Sandwiches']",['pickup'],4.0,2360
6,iH3FcZ4Xchx3s7fgIINaYg,Pizzeria Lola,https://s3-media4.fl.yelpcdn.com/bphoto/kEuCMg-6dsVl9_fq7XoWAg/o.jpg,https://www.yelp.com/biz/pizzeria-lola-minneapolis?adjust_creative=P1RJNSLd83EWzgeA0sG62A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=P1RJNSLd83EWzgeA0sG62A,44.9018519553182,-93.3186280826087,"5557 Xerxes Ave S Minneapolis, MN 55410",(612) 424-8338,['Pizza'],['delivery'],4.5,1018
7,MDPv2B2jwA1qLvQCXlEVww,Red Cow - Minneapolis,https://s3-media3.fl.yelpcdn.com/bphoto/lb-i_7dGdN2OTMz0K8Jb_A/o.jpg,https://www.yelp.com/biz/red-cow-minneapolis-minneapolis-3?adjust_creative=P1RJNSLd83EWzgeA0sG62A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=P1RJNSLd83EWzgeA0sG62A,44.9835380660176,-93.2696064205751,"208 N 1st Ave Minneapolis, MN 55401",(612) 238-0050,"['American (New)', 'Burgers', 'Pubs']",['delivery'],4.5,938
8,Dx52kVp9UBzI4LuL-J4TWA,Brasa Rotisserie,https://s3-media4.fl.yelpcdn.com/bphoto/4OZC_JveMh5-nmVsGbcF9w/o.jpg,https://www.yelp.com/biz/brasa-rotisserie-minneapolis?adjust_creative=P1RJNSLd83EWzgeA0sG62A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=P1RJNSLd83EWzgeA0sG62A,44.989479,-93.251249,"600 E Hennepin Ave Minneapolis, MN 55414",(612) 379-3030,"['Southern', 'Caribbean', 'Soul Food']","['pickup', 'delivery']",4.5,970
9,OrvTXpV0N29ucP8QmxDC0Q,Zelo,https://s3-media2.fl.yelpcdn.com/bphoto/fcmBinkUxgufrk-dshaIlg/o.jpg,https://www.yelp.com/biz/zelo-minneapolis?adjust_creative=P1RJNSLd83EWzgeA0sG62A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=P1RJNSLd83EWzgeA0sG62A,44.975065,-93.273613,"831 Nicollet Mall Minneapolis, MN 55402",(612) 333-7000,"['Italian', 'Seafood', 'American (Traditional)']","['pickup', 'delivery']",4.5,932
10,l7mNzyV3pOZ3m87jRY6J7A,Hola Arepa,https://s3-media3.fl.yelpcdn.com/bphoto/-TUdlWZPg2c-V0W8zbJdUw/o.jpg,https://www.yelp.com/biz/hola-arepa-minneapolis-4?adjust_creative=P1RJNSLd83EWzgeA0sG62A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=P1RJNSLd83EWzgeA0sG62A,44.939423,-93.277406,"3501 Nicollet Ave Minneapolis, MN 55408",(612) 345-5583,"['Latin American', 'Salad', 'Breakfast & Brunch']",['delivery'],4.5,780
11,ErvVFzAYVArZS7gcWgY0rg,Matt's Bar,https://s3-media2.fl.yelpcdn.com/bphoto/neU_w8kGDw3_DSTmXSv_lw/o.jpg,https://www.yelp.com/biz/matts-bar-minneapolis?adjust_creative=P1RJNSLd83EWzgeA0sG62A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=P1RJNSLd83EWzgeA0sG62A,44.9394683837891,-93.247428894043,"3500 Cedar Ave S Minneapolis, MN 55407",(612) 722-7072,"['Burgers', 'Dive Bars']",['delivery'],4.0,1543
12,G7iXpVSRuXzCbD2daJ_JYQ,Surly Brewing,https://s3-media4.fl.yelpcdn.com/bphoto/8adgL51sfhAnCjlFF1Nllw/o.jpg,https://www.yelp.com/biz/surly-brewing-minneapolis?adjust_creative=P1RJNSLd83EWzgeA0sG62A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=P1RJNSLd83EWzgeA0sG62A,44.9732287,-93.2097663,"520 Malcolm Ave SE Minneapolis, MN 55414",(763) 535-3330,"['Breweries', 'Pizza']",[],4.0,1114
13,ZucUm6bBfhe0bHW4oyO-Dg,Chimborazo,https://s3-media4.fl.yelpcdn.com/bphoto/yCvzlgF8iaEzNCiS_o6ghA/o.jpg,https://www.yelp.com/biz/chimborazo-minneapolis?adjust_creative=P1RJNSLd83EWzgeA0sG62A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=P1RJNSLd83EWzgeA0sG62A,45.0202859237582,-93.2470212131738,"2851 Central Ave Minneapolis, MN 55418",(612) 788-1328,['Latin American'],['delivery'],4.5,598
14,51E_-4s1wheqka5xtGAaNw,Martina,https://s3-media3.fl.yelpcdn.com/bphoto/r3BtWCY9NCfOweHPdN_y5Q/o.jpg,https://www.yelp.com/biz/martina-minneapolis?adjust_creative=P1RJNSLd83EWzgeA0sG62A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=P1RJNSLd83EWzgeA0sG62A,44.9243,-93.31523,"4312 S Upton Ave Minneapolis, MN 55410",(612) 922-9913,"['Argentine', 'Cocktail Bars', 'Breakfast & Brunch']",['delivery'],4.5,480
15,5Y2nekkwRrNMMSx3b-2EhA,Young Joni,https://s3-media4.fl.yelpcdn.com/bphoto/LeyNsE9AYua2Tn7kTTWuxQ/o.jpg,https://www.yelp.com/biz/young-joni-minneapolis?adjust_creative=P1RJNSLd83EWzgeA0sG62A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=P1RJNSLd83EWzgeA0sG62A,45.001101,-93.266682,"165 13th Ave NE Minneapolis, MN 55413",(612) 345-5719,"['Pizza', 'Cocktail Bars', 'Venues & Event Spaces']",['delivery'],4.5,671
