,googleplacesid,name,latitude,longitude,address,rating,reviews,price,icon,photos
0,ChIJN2-3wpQys1IRK9G73sv97zg,Butcher & The Boar,44.9747894,-93.27982670000002,"1121 Hennepin Ave, Minneapolis, MN 55403, United States",4.6,2146,3,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,"[['<a href=""https://maps.google.com/maps/contrib/109104606351586527560"">Butcher &amp; the Boar</a>']]"
1,ChIJBcDbP4oys1IRg97QGrkjtH8,Bar La Grassa,44.9894444,-93.27861109999999,"800 N Washington Ave, Minneapolis, MN 55401, United States",4.7,1457,3,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,"[['<a href=""https://maps.google.com/maps/contrib/109528203664976856853"">Andy Fallon</a>']]"
2,ChIJ6ZJ3YYUys1IRihzyYe0WiGs,112 Eatery,44.9825167,-93.2718194,"112 N 3rd St, Minneapolis, MN 55401, United States",4.7,991,3,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,"[['<a href=""https://maps.google.com/maps/contrib/111179819549088358145"">Bobby Khan</a>']]"
3,ChIJD0SgSFIm9ocRdLlVXKBGwMU,George and the Dragon,44.912183,-93.29032439999999,"813 W 50th St, Minneapolis, MN 55419, United States",4.7,1251,2,https://maps.gstatic.com/mapfiles/place_api/icons/bar-71.png,"[['<a href=""https://maps.google.com/maps/contrib/102571008308851989782"">Blake Bryant</a>']]"
4,ChIJpQmgMoQys1IRID1e5YB8eMo,Spoon and Stable,44.9855557,-93.2695026,"211 N 1st St, Minneapolis, MN 55401, United States",4.7,1560,4,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,"[['<a href=""https://maps.google.com/maps/contrib/107736946364365219507"">Spoon and Stable</a>']]"
5,ChIJpcQ6D5cys1IRGIkZfb0UOUg,Hell's Kitchen Inc.,44.9746041,-93.2726866,"80 S 9th St, Minneapolis, MN 55402, United States",4.4,4821,2,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,"[['<a href=""https://maps.google.com/maps/contrib/105710173090531382983"">Hell&#39;s Kitchen</a>']]"
6,ChIJEWROdcIm9ocRbZQ9Buq-07w,Pizzeria Lola,44.9018155,-93.31860999999999,"5557 Xerxes Ave S, Minneapolis, MN 55410, United States",4.7,2050,2,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,"[['<a href=""https://maps.google.com/maps/contrib/100697224958181468392"">Pizzeria Lola</a>']]"
7,ChIJzxizBYUys1IRDx_NN0FVbNE,Red Cow North Loop,44.9836183,-93.26966999999999,"208 N 1st Ave, Minneapolis, MN 55401, United States",4.6,2873,2,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,"[['<a href=""https://maps.google.com/maps/contrib/111000085315861056210"">Red Cow</a>']]"
8,ChIJ-SDIlncts1IRxlaSi4Kah2c,Brasa Rotisserie,44.9895113,-93.25122189999999,"600 E Hennepin Ave, Minneapolis, MN 55414, United States",4.6,1623,2,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,"[['<a href=""https://maps.google.com/maps/contrib/113719639442868633401"">Ashley Hughes</a>']]"
9,ChIJSRQF5JYys1IRrrRbQLTgvAY,Zelo,44.97504,-93.2736207,"831 Nicollet Mall, Minneapolis, MN 55402, United States",4.6,1376,2,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,"[['<a href=""https://maps.google.com/maps/contrib/114759897810351973831"">Zelo</a>']]"
10,ChIJN11Koewn9ocR0R1l7NmJzgw,Hola Arepa,44.9393241,-93.277396,"3501 Nicollet Ave, Minneapolis, MN 55408, United States",4.7,2152,2,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,"[['<a href=""https://maps.google.com/maps/contrib/117237730651581595060"">Karene Nagel</a>']]"
11,ChIJgzapGhIo9ocR1q6nNH0J_Xw,Matt's Bar and Grill,44.9394178,-93.247638,"3500 Cedar Ave, Minneapolis, MN 55407, United States",4.6,4137,1,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,"[['<a href=""https://maps.google.com/maps/contrib/107657043752926029256"">Carlo Emanuele Barbi</a>']]"
12,ChIJHa80f2sxs1IRSAlqsByPiLY,Surly Brewing Co.,44.9729768,-93.20981830000001,"520 Malcolm Ave SE, Minneapolis, MN 55414, United States",4.6,2773,1,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,"[['<a href=""https://maps.google.com/maps/contrib/100666417972943956789"">Surly Brewing Company</a>']]"
13,ChIJVzJHwects1IRCH2IDUp3TB8,Chimborazo,45.02026619999999,-93.2471194,"2851 Central Ave NE, Minneapolis, MN 55418, United States",4.7,1884,2,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,"[['<a href=""https://maps.google.com/maps/contrib/107056181679937947895"">Judy Park</a>']]"
14,ChIJlzITYRcn9ocRcMEfy0kSJWo,Martina,44.9241805,-93.3149508,"4312 S Upton Ave, Minneapolis, MN 55410, United States",4.7,810,3,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,"[['<a href=""https://maps.google.com/maps/contrib/111754546943514476591"">Tofu Man</a>']]"
15,ChIJzbVUc3cys1IRlkHiv5QwsJ4,Young Joni,45.0010152,-93.2666647,"165 13th Ave NE, Minneapolis, MN 55413, United States",4.7,2155,2,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,"[['<a href=""https://maps.google.com/maps/contrib/115013461067887518372"">Young Joni</a>']]"
16,ChIJWUEQhb8ys1IRjCHmPOynASE,Lotus Restaurant,44.969721,-93.280041,"113 W Grant St, Minneapolis, MN 55403, United States",4.5,1005,1,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,"[['<a href=""https://maps.google.com/maps/contrib/115124896665099699091"">Patrick Kelly</a>']]"
17,ChIJezc5_ccn9ocRKVr4ys-Wr24,Revival,44.9251909,-93.27772780000001,"4257 Nicollet Ave, Minneapolis, MN 55409, United States",4.6,2093,2,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,"[['<a href=""https://maps.google.com/maps/contrib/114582985078667694996"">Eric Jaakkola</a>']]"
18,ChIJLcnbWPUn9ocRVs-QNcHcrzQ,Quang Restaurant,44.953081,-93.277733,"2719 Nicollet Ave, Minneapolis, MN 55408, United States",4.5,2429,1,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,"[['<a href=""https://maps.google.com/maps/contrib/107110679540861138940"">Andy Cheng</a>']]"
19,ChIJHy8F99gm9ocRhsE2G9980c0,Red Cow 50th & France,44.9126985,-93.3261084,"3624 W 50th St, Minneapolis, MN 55410, United States",4.6,2135,2,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,"[['<a href=""https://maps.google.com/maps/contrib/116501958486621555497"">Red Cow</a>']]"
20,ChIJ7dLdhvUn9ocRPXMER9aINWM,My Huong Kitchen,44.9530556,-93.2783333,"2718 Nicollet Ave #101B, Minneapolis, MN 55408, United States",4.7,301,1,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,"[['<a href=""https://maps.google.com/maps/contrib/106370439468427081303"">Wilmer Chavarria</a>']]"
21,ChIJf-_gs1Axs1IRhRGK48IiJa4,Travail Kitchen and Amusements,44.9632323,-93.2914428,"1930 Hennepin Ave, Minneapolis, MN 55403, United States",4.8,614,4,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,"[['<a href=""https://maps.google.com/maps/contrib/107075832833110599491"">J.A. Simmons V</a>']]"
22,ChIJRa9-DJcys1IRScFQpyzdZPQ,Manny's Steakhouse,44.9744696,-93.2722491,"825 S Marquette Ave, Minneapolis, MN 55402, United States",4.6,2091,4,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,"[['<a href=""https://maps.google.com/maps/contrib/102897779221095221982"">A Google User</a>']]"
23,ChIJ3XUlLeMm9ocRRuII1slIOIo,Broders' Pasta Bar,44.912055,-93.309141,"5000 Penn Ave S, Minneapolis, MN 55419, United States",4.7,886,2,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,"[['<a href=""https://maps.google.com/maps/contrib/111690623121594514258"">Broders&#39; Pasta Bar</a>']]"
24,ChIJwWRLgIUys1IRvutxO0SIWGA,Red Rabbit Minneapolis,44.9836941,-93.27174579999999,"201 N Washington Ave, Minneapolis, MN 55401, United States",4.6,1575,2,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,"[['<a href=""https://maps.google.com/maps/contrib/105646658147124911136"">Arthur Stoute</a>']]"
