,inspectionidnumber,dateofinspection,businessname,fulladdress,inspectiontype,inspectionscore,latitude,longitude
19666,44314,2017/01/27,1010 WASHINGTON WINE & SPIRITS,1010 WASHINGTON AVE S,Routine,96,44.97659,-93.25502
19669,189485,2019/02/06,1010 WASHINGTON WINE & SPIRITS,1010 WASHINGTON AVE S,Routine,96,44.97659,-93.25502
78,44334,2017/08/31,112 EATERY,112 3RD ST N,Routine,80,44.98266,-93.27156
111,224449,2017/10/06,112 EATERY,112 3RD ST N,Follow-Up,96,44.98266,-93.27156
102,224448,2018/08/31,112 EATERY,112 3RD ST N,Routine,84,44.98266,-93.27156
121,270458,2018/10/01,112 EATERY,112 3RD ST N,Follow-Up,100,44.98266,-93.27156
116,270457,2019/08/30,112 EATERY,112 3RD ST N,Routine,94,44.98266,-93.27156
21825,44398,2017/10/10,1ST WOK LAKESIDE,3236 LAKE ST W,Routine,96,44.94913,-93.32083
21858,228784,2017/12/12,1ST WOK LAKESIDE,3236 LAKE ST W,Follow-Up,100,44.94913,-93.32083
21833,228783,2018/10/18,1ST WOK LAKESIDE,3236 LAKE ST W,Routine,72,44.94913,-93.32083
21865,276701,2018/11/27,1ST WOK LAKESIDE,3236 LAKE ST W,Follow-Up,96,44.94913,-93.32083
21859,276700,2019/10/18,1ST WOK LAKESIDE,3236 LAKE ST W,Routine,96,44.94913,-93.32083
3759,44544,2017/05/25,4 BELLS,1610 HARMON PL,Routine,92,44.97172,-93.28552
3772,200509,2017/06/30,4 BELLS,1610 HARMON PL,Follow-Up,100,44.97172,-93.28552
3766,200508,2018/06/07,4 BELLS,1610 HARMON PL,Routine,90,44.97172,-93.28552
3784,252481,2018/07/12,4 BELLS,1610 HARMON PL,Follow-Up,100,44.97172,-93.28552
3773,252480,2019/06/11,4 BELLS,1610 HARMON PL,Routine,84,44.97172,-93.28552
3786,313917,2019/07/09,4 BELLS,1610 HARMON PL,Follow-Up,94,44.97172,-93.28552
4298,44620,2017/10/17,5-8 CLUB,5800 CEDAR AVE S,Routine,96,44.89773,-93.248
4317,229830,2017/12/14,5-8 CLUB,5800 CEDAR AVE S,Follow-Up,98,44.89773,-93.248
4308,229829,2018/10/30,5-8 CLUB,5800 CEDAR AVE S,Routine,98,44.89773,-93.248
4329,277908,2018/11/29,5-8 CLUB,5800 CEDAR AVE S,Follow-Up,98,44.89773,-93.248
4322,277907,2019/10/30,5-8 CLUB,5800 CEDAR AVE S,Routine,94,44.89773,-93.248
949,44730,2017/04/21,7 - THE SKYBAR,700 HENNEPIN AVE,Routine,100,44.97801,-93.27548
950,196602,2018/05/01,7 - THE SKYBAR,700 HENNEPIN AVE,Routine,100,44.97801,-93.27548
951,249194,2019/05/03,7 - THE SKYBAR,700 HENNEPIN AVE,Routine,100,44.97801,-93.27548
19980,44716,2017/02/28,7 SEVEN,700 HENNEPIN AVE,Routine,94,44.97801,-93.27548
19974,192035,2018/05/01,7 SEVEN,700 HENNEPIN AVE,Routine,94,44.97801,-93.27548
19976,249180,2018/06/26,7 SEVEN,700 HENNEPIN AVE,Follow-Up,94,44.97801,-93.27548
20008,253687,2018/07/25,7 SEVEN,700 HENNEPIN AVE,Follow-Up,94,44.97801,-93.27548
19977,258138,2018/08/31,7 SEVEN,700 HENNEPIN AVE,Follow-Up,92,44.97801,-93.27548
19975,249179,2019/05/03,7 SEVEN,700 HENNEPIN AVE,Routine,86,44.97801,-93.27548
19978,310089,2019/05/30,7 SEVEN,700 HENNEPIN AVE,Follow-Up,86,44.97801,-93.27548
19979,313146,2019/06/27,7 SEVEN,700 HENNEPIN AVE,Follow-Up,92,44.97801,-93.27548
21662,337401,2020/01/16,801 CHOP HOUSE,801 NICOLLET MALL,Routine,76,44.97559,-93.2728
21675,341655,2020/01/29,801 CHOP HOUSE,801 NICOLLET MALL,Follow-Up,96,44.97559,-93.2728
16332,44781,2017/05/30,8TH STREET GRILL & TAVERN,800 MARQUETTE AVE,Routine,94,44.97559,-93.2728
16348,200977,2017/07/12,8TH STREET GRILL & TAVERN,800 MARQUETTE AVE,Follow-Up,100,44.97559,-93.2728
16340,200976,2018/05/22,8TH STREET GRILL & TAVERN,800 MARQUETTE AVE,Routine,96,44.97559,-93.2728
16350,251758,2019/05/14,8TH STREET GRILL & TAVERN,800 MARQUETTE AVE,Routine,90,44.97559,-93.2728
16355,310357,2019/06/13,8TH STREET GRILL & TAVERN,800 MARQUETTE AVE,Follow-Up,96,44.97559,-93.2728
9449,32331,2017/02/21,A LA SALSA RESTAURANT,920 LAKE ST E #155,Routine,100,44.94931,-93.26076
9456,191472,2018/02/20,A LA SALSA RESTAURANT,920 LAKE ST E #155,Routine,98,44.94931,-93.26076
9461,243457,2019/02/21,A LA SALSA RESTAURANT,920 LAKE ST E #155,Routine,94,44.94931,-93.26076
10544,51319,2017/06/06,A SLICE OF NEW YORK,2407 NICOLLET AVE,Routine,86,44.95892,-93.27745
10571,201078,2017/07/13,A SLICE OF NEW YORK,2407 NICOLLET AVE,Follow-Up,100,44.95892,-93.27745
10563,201077,2018/06/04,A SLICE OF NEW YORK,2407 NICOLLET AVE,Routine,90,44.95892,-93.27745
10585,251943,2018/07/24,A SLICE OF NEW YORK,2407 NICOLLET AVE,Follow-Up,96,44.95892,-93.27745
10574,251942,2019/06/06,A SLICE OF NEW YORK,2407 NICOLLET AVE,Routine,90,44.95892,-93.27745
10592,313461,2019/07/24,A SLICE OF NEW YORK,2407 NICOLLET AVE,Follow-Up,98,44.95892,-93.27745
2072,124215,2017/04/27,ADELITAS MEXICAN RESTAURANT,2405 CENTRAL AVE NE,Follow-Up,100,45.01243,-93.24694
2066,124214,2017/11/03,ADELITAS MEXICAN RESTAURANT,2405 CENTRAL AVE NE,Routine,96,45.01243,-93.24694
2076,232693,2017/12/15,ADELITAS MEXICAN RESTAURANT,2405 CENTRAL AVE NE,Follow-Up,100,45.01243,-93.24694
2073,232692,2018/10/25,ADELITAS MEXICAN RESTAURANT,2405 CENTRAL AVE NE,Routine,92,45.01243,-93.24694
2078,278430,2019/10/25,ADELITAS MEXICAN RESTAURANT,2405 CENTRAL AVE NE,Routine,88,45.01243,-93.24694
2084,336509,2019/12/06,ADELITAS MEXICAN RESTAURANT,2405 CENTRAL AVE NE,Follow-Up,98,45.01243,-93.24694
3515,191908,2017/05/03,AFRO DELI AND COFFEE LLC,720 WASHINGTON AVE SE,Routine,94,44.97333,-93.22759
3521,197629,2018/05/02,AFRO DELI AND COFFEE LLC,720 WASHINGTON AVE SE,Routine,80,44.97333,-93.22759
3534,249117,2018/06/29,AFRO DELI AND COFFEE LLC,720 WASHINGTON AVE SE,Follow-Up,90,44.97333,-93.22759
3540,253691,2018/08/10,AFRO DELI AND COFFEE LLC,720 WASHINGTON AVE SE,Follow-Up,100,44.97333,-93.22759
3531,249116,2019/05/01,AFRO DELI AND COFFEE LLC,720 WASHINGTON AVE SE,Routine,98,44.97333,-93.22759
10762,51862,2017/01/04,AGRA CULTURE,3717 50TH ST W,Follow-Up,94,44.91218,-93.3274
10796,181245,2017/02/22,AGRA CULTURE,3717 50TH ST W,Follow-Up,96,44.91218,-93.3274
10775,51863,2017/10/04,AGRA CULTURE,3717 50TH ST W,Routine,76,44.91218,-93.3274
22825,11079,2017/10/28,AGRA CULTURE,2939 GIRARD AVE S,Routine,100,44.94885,-93.29663
10802,228030,2017/11/07,AGRA CULTURE,3717 50TH ST W,Follow-Up,88,44.91218,-93.3274
10807,236466,2018/12/11,AGRA CULTURE,3717 50TH ST W,Routine,90,44.91218,-93.3274
22833,242989,2019/01/15,AGRA CULTURE,2939 GIRARD AVE S,Routine,96,44.94885,-93.29663
10823,281362,2019/02/12,AGRA CULTURE,3717 50TH ST W,Follow-Up,98,44.91218,-93.3274
10817,281361,2020/01/02,AGRA CULTURE,3717 50TH ST W,Routine,98,44.91218,-93.3274
22837,291219,2020/01/09,AGRA CULTURE,2939 GIRARD AVE S,Routine,94,44.94885,-93.29663
23159,52038,2017/04/28,AKWAABA,1823 NICOLLET AVE,Routine,98,44.96459,-93.27744
23168,197554,2017/06/29,AKWAABA,1823 NICOLLET AVE,Follow-Up,100,44.96459,-93.27744
23164,197553,2018/04/10,AKWAABA,1823 NICOLLET AVE,Routine,98,44.96459,-93.27744
23169,247742,2019/04/15,AKWAABA,1823 NICOLLET AVE,Routine,100,44.96459,-93.27744
10261,270812,2018/11/27,ALL SQUARE,4047 MINNEHAHA AVE,Routine,94,44.92893,-93.2196
10267,280351,2019/11/27,ALL SQUARE,4047 MINNEHAHA AVE,Routine,92,44.92893,-93.2196
3416,59158,2017/10/06,ALLIES RAND DELI & CATERING,527 MARQUETTE AVE,Routine,88,44.97733,-93.26956
3432,228216,2017/11/06,ALLIES RAND DELI & CATERING,527 MARQUETTE AVE,Follow-Up,100,44.97733,-93.26956
3425,228215,2018/10/09,ALLIES RAND DELI & CATERING,527 MARQUETTE AVE,Routine,90,44.97733,-93.26956
