number,neighborhood,latitude,longitude
0,Bry Mawr,44.9737,-93.3084
1,West Calhoun,44.9447,-93.3263
2,CARAG,44.9411,-93.2911
3,Cedar Isles-Dean,44.9542,-93.3215
4,East Calhoun,44.9449,-93.2982
5,East Isles,44.9559,-93.3003
6,Kenwood,44.9591,-93.3120
7,Lowry Hill,44.9671,-93.2954
8,Cleveland,45.0197,-93.3140
9,Folwell,45.0202,-93.2988
10,Lind-Bohanan,45.0439,-93.2915
11,McKinley,45.0185,-93.2880
12,Shingle Creek,45.0479,-93.3071
13,Victory,45.0337,-93.3156
14,Webber-Camden,45.0316,-93.2983
15,Downtown East,44.9759,-93.2546
16,Downtown West,44.9742,-93.2733
17,Elliot Park,44.9698,-93.2627
18,Loring Park,44.9688,-93.2794
19,North Loop,44.9842,-93.2836
20,Stevens Square,44.9642,-93.2766
21,Cooper,44.9480,-93.2106
22,Hiawatha,44.9200,-93.2106
23,Howe,44.9339,-93.2156
24,Longfellow,44.9484,-93.2343
25,Seward,44.9592,-93.2346
26,Harrison,44.9815,-93.3032
27,Hawthorne,45.0059,-93.2880
28,Jordan ,45.0060,-93.3023
29,Near North,44.9919,-93.2942
30,Sumner-Glenwood,44.9842,-93.2909
31,Diamond Lake,44.8961,-93.2628
32,Ericsson,44.9194,-93.2307
33,Field,44.9148,-93.2697
34,Hale,44.9089,-93.2524
35,Keewaydin,44.9100,-93.2357
36,Minnehaha,44.9105,-93.2156
37,Morris Park,44.9012,-93.2156
38,Northrop,44.9211,-93.2533
39,Page,44.9078,-93.2697
40,Regina,44.9230,-93.2709
41,Wenonah,44.9017,-93.2324
42,Audubon Park,45.0172,-93.2378
43,Beltrami,44.9949,-93.2416
44,Bottineau,45.0082,-93.2684
45,Columbia Park,45.0260,-93.2590
46,Holland,45.0210,-93.2574
47,Logan Park ,45.0028,-93.2513
48,Marshall Terrace,45.0210,-93.2686
49,Northeast Park,45.0017,-93.2423
50,Sheridan,45.0024,-93.2664
51,St. Anthony East,44.9947,-93.2517
52,St. Anthony West,44.9932,-93.2603
53,Waite Park,45.0313,-93.2343
54,Windom Park,45.0091,-93.2356
55,Midtown Phillips,44.9560,-93.2561
56,Phillips West,44.9511,-93.2659
57,Ventura Village,44.9618,-93.2582
58,Bancroft,44.9293,-93.2546
59,Bryant,44.9312,-93.2697
60,Central,44.9765,-93.2761
61,Corcoran,44.9429,-93.2406
62,Lyndale,44.9429,-93.2843
63,Powderhorn Park,44.9398,-93.2533
64,Standish,44.9323,-93.2385
65,Whittier,44.9555,-93.2797
66,Armatage,44.8979,-93.3112
67,East Harriet,44.9293,-93.2936
68,Fulton,44.9122,-93.3213
69,Kenny,44.8989,-93.2961
70,Kingfield,44.9269,-93.2805
71,Linden Hills,44.9284,-93.3238
72,Lynnhurst,44.9107,-93.2936
73,Tangletown,44.9127,-93.2781
74,Windom,44.8978,-93.2833
75,Cedar-Riverside,44.9669,-93.2435
76,Como,44.9878,-93.2228
77,Marcy-Holmes,44.9854,-93.2447
78,Nicollet Island/East Bank,44.9879,-93.2629
79,Prospect Park,44.9710,-93.2153
80,University,44.9754,-93.2331
